date,trial,location ,total_length,temp,attack,pass,tandem,eat,approach
21092019,1,lake,31.5,22,10,3,1,0,13
21092019,2,lake,30,22,4,2,1,0,6
21092019,3,lake,30.1,22,0,1,4,0,1
21092019,4,lake,31.1,22,4,1,4,0,5
21092019,5,lake,32.2,22,9,1,4,0,10
21092019,6,lake,32.2,22,15,2,0,0,17
21092019,7,lake,32.5,22,4,4,0,0,8
24092019,8,lake,31,22.5,15,0,0,0,15
24092019,9,lake,31.5,22.1,8,4,1,0,12
24092019,10,lake,30.5,22.4,8,2,3,0,10
24092019,11,lake,31.5,23.7,6,0,0,0,6
24092019,12,lake,31,23,12,0,3,0,12
25092019,1,lake,30.2,21,2,7,0,0,9
25092019,2,lake,31.5,21,5,2,0,0,7
25092019,3,lake,28.8,21,6,3,0,0,9
25092019,4,lake,30.6,21,11,2,1,0,13
25092019,5,lake,28.8,21,1,0,0,0,1
25092019,6,lake,31,21,6,4,0,1,10
26092019,1,lake,32,23,8,0,0,1,8
24092019,1,wood,31,22.1,0,0,0,0,0
24092019,2,wood,31.5,22,0,0,0,0,0
24092019,3,wood,30.5,21.3,0,0,0,0,0
24092019,4,wood,31,21.8,1,0,0,1,1
24092019,5,wood,31,21.5,0,0,0,0,0
24092019,6,wood,30.2,21,0,1,0,0,1
24092019,7,wood,32,21,0,1,0,0,1
25092019,1,wood,29.1,21,0,0,0,0,0
25092019,2,wood,30.3,21,0,0,0,0,0
25092019,3,wood,28.5,21,0,0,0,0,0
25092019,4,wood,29.6,21,0,0,0,0,0
25092019,5,wood,30.9,21,0,1,1,0,1
26092019,1,wood,32.5,23,0,1,0,0,1
26092019,2,wood,29.5,23,2,2,0,0,4
26092019,3,wood,29.8,23,2,1,0,0,3
26092019,4,wood,30.7,23,0,1,0,0,1
26092019,5,wood,30.7,24,2,0,0,0,2
26092019,6,wood,31.6,24,0,2,0,0,2
26092019,7,wood,32.5,24,0,0,0,0,0
26092019,8,wood,30.5,24,2,0,0,0,2
26092019,9,wood,32,24,0,0,0,0,0
26092019,10,wood,32.5,24,0,0,0,0,0
