date,location,male_type,female_type,male_abundance,female_abundance,male_percentage,transformed_male_percentage,temp,duration,male_density,female_density,Total_density,total_number,total_density
4102018,wood,NE,NE,3,3,0.181818182,0.340909091,,30,,,,6,1.933333333
4102018,wood,Yellow,Yellow,18,32,0.923076923,0.711538462,,30,,,,50,NA
4102018,wood,Red,Red,2,0,0.035714286,0.267857143,,30,,,,2,NA
4102018,lake,NE,NE,18,24,0.857142857,0.678571429,22,30,0.6,0.8,1.4,42,3.633333333
4102018,lake,Yellow,Yellow,3,0,0.142857143,0.321428572,22,30,0.1,0,0.1,3,NA
4102018,lake,Red,Red,42,22,0.965517241,0.732758621,22,30,1.4,0.75,2.15,64,NA
7102017,wood,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
7102017,wood,Yellow,Yellow,34,NA,0.918918919,0.70945946,NA,NA,NA,NA,NA,34,NA
7102017,wood,Red,Red,3,NA,0.069767442,0.284883721,NA,NA,NA,NA,NA,3,NA
7102017,lake,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
7102017,lake,Yellow,Yellow,3,NA,0.081081081,0.290540541,NA,NA,NA,NA,NA,3,NA
7102017,lake,Red,Red,40,NA,0.930232558,0.715116279,NA,NA,NA,NA,NA,40,NA
9102018,wood,NE,NE,1,0,0.035714286,0.267857143,,35,,,,1,0.457142857
9102018,wood,Yellow,Yellow,10,5,1,0.75,,35,,,,15,NA
9102018,wood,Red,Red,0,0,0,0.25,,35,,,,0,NA
9102018,lake,NE,NE,9,4,0.9,0.7,21,25,0.36,0.16,0.52,13,2.28
9102018,lake,Yellow,Yellow,1,10,0.090909091,0.295454546,21,25,0.04,0.4,0.44,11,1.76
9102018,lake,Red,Red,27,6,1,0.75,21,25,1.08,0.24,1.32,33,2
13102017,wood,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
13102017,wood,Yellow,Yellow,17,NA,0.894736842,0.697368421,NA,NA,NA,NA,NA,17,NA
13102017,wood,Red,Red,0,NA,0,0.25,NA,NA,NA,NA,NA,0,NA
13102017,lake,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
13102017,lake,Yellow,Yellow,2,NA,0.105263158,0.302631579,NA,NA,NA,NA,NA,2,NA
13102017,lake,Red,Red,49,NA,1,0.75,NA,NA,NA,NA,NA,49,NA
14092017,wood,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
14092017,wood,Yellow,Yellow,12,NA,0.857142857,0.678571429,NA,NA,NA,NA,NA,12,NA
14092017,wood,Red,Red,3,NA,0.142857143,0.321428572,NA,NA,NA,NA,NA,3,NA
14092017,lake,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,,0,NA
14092017,lake,Yellow,Yellow,2,NA,0.142857143,0.321428572,NA,NA,NA,NA,NA,2,NA
14092017,lake,Red,Red,18,NA,0.857142857,0.678571429,NA,NA,NA,NA,NA,18,NA
17102017,wood,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
17102017,wood,Yellow,Yellow,18,NA,0.947368421,0.723684211,NA,NA,NA,NA,NA,18,NA
17102017,wood,Red,Red,2,NA,0.047619048,0.273809524,NA,NA,NA,NA,NA,2,NA
17102017,lake,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
17102017,lake,Yellow,Yellow,1,NA,0.052631579,0.27631579,NA,NA,NA,NA,NA,1,NA
17102017,lake,Red,Red,40,NA,0.952380952,0.726190476,NA,NA,NA,NA,NA,40,NA
18092018,wood,NE,NE,2,1,0.25,0.375,,35,0.057142857,0.028571429,0.085714286,3,1.057142857
18092018,wood,Yellow,Yellow,15,17,1,0.75,,35,0.428571429,0.485714286,0.914285714,32,NA
